Description,link,sno
"Indigo Fever CFabric: Hand dyed indigo modal  
Sleeve: 18 inches 
Style: Aline kurti with Front and side slit 
Length: 46 Inches 
Color: Indigo
Disclaimer:
1.  Your hand dyed indigo garments should be washed in cold water only, separately from other items with a mild detergent.
2. Do not rub the garment vigorously or soak the garment for a long time.You may notice a little blue coming out into the water – this is normal and will not happen after a couple of washes.
3. Hand drying in a shaded area is recommended to avoid excessive fading in direct sunlight. Pro tip: Store them away from sunlight to keep the color intact.
But keep in mind that the Indigo coloured garments tend to fade overtime but this only adds to the character of the garment. So don’t worry and enjoy your beautiful garments!",https://instore.co.in//collections/offers/products/yakshita,40
"Manci GreyFabric: Chanderi
 Sleeve:17 inches 
Style: Printed Straight Cut Kurti with Dupatta 
 Length:40 Inches
 Dupatta : 2.40 Mtrs
 Color: Silver Grey",https://instore.co.in//collections/offers/products/manci-grey,41
"Koperundevi BlackFabric: Chanderi Cotton with Butter Crepe Lining
 Sleeve: 18 inches 
Style: Anarkali
Length: 47 Inches
Colour: Black",https://instore.co.in//collections/offers/products/koperundevi-black,42
"vermilionFabric: Hand block printed cotton
 Sleeve:17inches
 Style: Straight cut kurti with side slit
 Length: 46Inches 
Colour: Bottle green & maroon",https://instore.co.in//collections/offers/products/vermilion,43
"Tamarai NavyFabric: Cotton. 
Style: Printed Full Flared Anarkali 
 Kurti Length- 47 Inches, 
Sleeve Length 15.5 Inches. 
Color: Navy Blue",https://instore.co.in//collections/offers/products/tamarai-navy,44
"Indigo Fever EFabric: Hand dyed indigo modal  
 Sleeve:18.5Inches 
Style: Straight Cut kurti with Front and Side Slit 
Length: 45.5Inches 
Color: Indigo
Disclaimer-
1.  Your hand dyed indigo garments should be washed in cold water only, separately from other items with a mild detergent.
2. Do not rub the garment vigorously or soak the garment for a long time.You may notice a little blue coming out into the water – this is normal and will not happen after a couple of washes.
3. Hand drying in a shaded area is recommended to avoid excessive fading in direct sunlight. Pro tip: Store them away from sunlight to keep the color intact.
But keep in mind that the Indigo coloured garments tend to fade overtime but this only adds to the character of the garment. So don’t worry and enjoy your beautiful garments!",https://instore.co.in//collections/offers/products/narumugai,45
"PrithiFabric:  Synthetic 
Sleeve: 3/4 th Sleeve 
Style: Frilled Anarkali 
Length: Kurti - 50 Inches
Colour: Peach",https://instore.co.in//collections/offers/products/prithi,46
"NithuraFabric:Rayon 
Sleeve:15.5 Inches 
Style:Printed Straight Cut Kurti with Side SIit
Length: 45 Inches
Colour: Sky Blue & Maroon",https://instore.co.in//collections/offers/products/nithura,47
"KamaliFabric: Cotton 
Sleeve:  10 Inches  
Style: Side Slit Kurti
Length:  38 Inches;
Colour: Green",https://instore.co.in//collections/offers/products/kamali,48
"OmishaFabric: Cotton
 Sleeve: 17inches 
Style: Printed flared Anarkali 
Length: 49.6Inches 
 Colour: Blue & Light yellow",https://instore.co.in//collections/offers/products/omisha,49
